epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5375,0.9509,1.49736,0.92643,0.48793,0.80912,0.54434,0.41536,0.69663,0.84176,0.86925,0.000360838,0.000360838,0.000360838
2,32.1171,0.79419,0.71922,0.88205,0.48521,0.53707,0.50256,0.38599,0.72102,0.76477,0.85684,0.000721519,0.000721519,0.000721519
3,46.4861,0.77768,0.63922,0.87711,0.83801,0.46549,0.58321,0.43811,0.76631,0.69681,0.8802,0.00107242,0.00107242,0.00107242
4,60.8131,0.77164,0.57964,0.87485,0.58706,0.88669,0.70038,0.51226,0.75255,0.60316,0.86034,0.001067,0.001067,0.001067
5,75.0931,0.75467,0.56747,0.87361,0.79375,0.47871,0.521,0.39201,0.72753,0.69775,0.86305,0.00105234,0.00105234,0.00105234
6,89.7496,0.73063,0.52127,0.86965,0.82162,0.64168,0.8266,0.70317,0.68604,0.65062,0.84803,0.00103767,0.00103767,0.00103767
7,104.176,0.75483,0.51832,0.87052,0.66374,0.72404,0.85138,0.67759,0.64062,0.64696,0.8431,0.00102301,0.00102301,0.00102301
8,118.411,0.7583,0.51096,0.87193,0.5915,0.90983,0.71365,0.59026,0.65402,0.54167,0.84555,0.00100834,0.00100834,0.00100834
9,132.785,0.72962,0.48366,0.86963,0.5491,0.85926,0.73849,0.6151,0.6257,0.51413,0.84293,0.000993678,0.000993678,0.000993678
10,147.298,0.72269,0.48273,0.86741,0.75944,0.82414,0.884,0.70816,0.63858,0.55556,0.84423,0.000979013,0.000979013,0.000979013
11,161.817,0.71362,0.46134,0.86563,0.57063,0.96246,0.79772,0.65318,0.66702,0.51914,0.84211,0.000964348,0.000964348,0.000964348
12,175.997,0.6891,0.45804,0.857,0.91711,0.61909,0.73108,0.609,0.6232,0.5096,0.83719,0.000949683,0.000949683,0.000949683
13,190.336,0.68546,0.44568,0.85993,0.62011,0.93755,0.8005,0.66622,0.65718,0.50728,0.8349,0.000935018,0.000935018,0.000935018
